id,media_mp10,nome,y,x
34583,33,Itaim Paulista,7400233.7709002,354979.26642141
34755,28,Congonhas,7388412.7638985,331260.81726537
38610,25,Parque D.Pedro II,7394977.5819743,333559.49294304
36389,20,Osasco,7395642.5148499,319334.2728823
34640,34,Guarulhos-Pimentas,7406965.1731598,355945.10309549
36451,32,Perus,7409384.3868877,320739.83954614
40997,23,Diadema,7379576.1971348,335589.07646526
40992,30,Carapicuíba,7393224.1743264,312512.61995545
40993,24,Cerqueira César,7394119.4987798,329704.73306415
40996,22,Cubatão-Centro,7358322.4121648,355692.2818707
40998,36,Grajaú-Parelheiros,7366721.9615542,331990.45483654
41006,40,Mauá,7381466.4420103,350618.68256162
41008,27,N.Senhora do Ó,7402355.6974369,327222.39294095
41014,28,S.André-Capuava,7384247.4455728,347730.66671501
41016,25,S.Bernardo-Paulicéia,7381271.2611062,338502.07833272
41020,27,Taboão da Serra,7388002.5362513,320874.96215387
34699,34,Guarulhos-Paço Municipal,7405161.2544585,344806.74346157
33039,21,São Caetano do Sul,7387396.22082,341318.72240406
35111,11,Capão Redondo,7381480.6152296,318548.14426271
37285,14,Marg.Tietê-Pte Remédios,7399131.3992326,326388.47830799
,,,,
